name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
AK-47 | Aquamarine Revenge (Field-Tested)@23.13@21.9735@33.84@33.1632@skinwallet@csdeals@10.03
R8 Revolver | Survivalist (Factory New)@0.22@0.209@30.0@29.4@skinwallet@csdeals@29.18
Safecracker Voltzmann | The Professionals@7.23@6.8685@13.99@13.7102@skinwallet@csdeals@6.48
Sawed-Off | Apocalypto (Factory New)@1.28@1.216@22.0@21.56@skinwallet@csdeals@20.28
Sawed-Off | Bamboo Shadow (Minimal Wear)@1.95@1.8525@6.0@5.88@skinwallet@csdeals@3.93
Sawed-Off | Black Sand (Factory New)@0.21@0.1994999999999999@13.0@12.74@skinwallet@csdeals@12.53
Sawed-Off | Highwayman (Factory New)@1.91@1.8145@15.0@14.7@skinwallet@csdeals@12.79
Sawed-Off | Jungle Thicket (Factory New)@1.76@1.672@11.0@10.78@skinwallet@csdeals@9.02
Sawed-Off | Jungle Thicket (Minimal Wear)@1.55@1.4725@4.0@3.92@skinwallet@csdeals@2.37
Sawed-Off | Kiss♥Love (Well-Worn)@3.23@3.0685@8.4@8.232@skinwallet@csdeals@5.0
Sawed-Off | Limelight (Factory New)@1.39@1.3204999999999998@10.0@9.8@skinwallet@csdeals@8.41
Sawed-Off | Morris (Factory New)@0.24@0.2279999999999999@4.0@3.92@skinwallet@csdeals@3.68
Sawed-Off | Wasteland Princess (Factory New)@5.4@5.13@8.59@8.4182@skinwallet@csdeals@3.02
Sawed-Off | Wasteland Princess (Field-Tested)@1.22@1.159@3.8@3.724@skinwallet@csdeals@2.5
Sawed-Off | Yorick (Factory New)@0.32@0.304@8.0@7.84@skinwallet@csdeals@7.52
SCAR-20 | Army Sheen (Factory New)@1.66@1.577@4.0@3.92@skinwallet@csdeals@2.26
SCAR-20 | Assault (Factory New)@0.16@0.152@5.0@4.9@skinwallet@csdeals@4.74
SCAR-20 | Cardiac (Field-Tested)@2.72@2.584@9.0@8.82@skinwallet@csdeals@6.1
SCAR-20 | Fragments (Factory New)@0.29@0.2754999999999999@25.0@24.5@skinwallet@csdeals@24.21
SCAR-20 | Green Marine (Factory New)@0.4@0.38@3.75@3.675@skinwallet@csdeals@3.28
SCAR-20 | Powercore (Factory New)@1.86@1.767@10.0@9.8@skinwallet@csdeals@7.94
Sealed Graffiti | Misfits Gaming | Boston 2018@1.16@1.102@4.0@3.92@skinwallet@csdeals@2.76
Sealed Graffiti | Team EnVyUs | Atlanta 2017@1.9@1.805@5.0@4.9@skinwallet@csdeals@3.0
Sergeant Bombson | SWAT@2.55@2.4225@4.99@4.8902@skinwallet@csdeals@2.34
SG 553 | Colony IV (Field-Tested)@6.2@5.89@17.0@16.66@skinwallet@csdeals@10.46
SG 553 | Damascus Steel (Factory New)@1.95@1.8525@20.0@19.6@skinwallet@csdeals@17.65
SG 553 | Darkwing (Factory New)@1.28@1.216@18.0@17.64@skinwallet@csdeals@16.36
SG 553 | Hazard Pay (Minimal Wear)@176.87@168.0265@370.0@362.6@skinwallet@csdeals@185.73
SG 553 | Phantom (Factory New)@0.87@0.8265@9.0@8.82@skinwallet@csdeals@7.95
SG 553 | Tiger Moth (Factory New)@1.42@1.349@45.0@44.1@skinwallet@csdeals@42.68
SG 553 | Triarch (Factory New)@1.37@1.3015@18.0@17.64@skinwallet@csdeals@16.27
Sir Bloody Loudmouth Darryl | The Professionals@21.76@20.672@31.29@30.6642@skinwallet@csdeals@8.9
Sir Bloody Miami Darryl | The Professionals@43.42@41.249@65.99@64.6702@skinwallet@csdeals@21.25
Sir Bloody Skullhead Darryl | The Professionals@13.37@12.7015@18.5@18.13@skinwallet@csdeals@4.76
Souvenir Nova | Mandrel (Factory New)@7.5@7.125@12.0@11.76@skinwallet@csdeals@4.26
Special Agent Ava | FBI@10.54@10.012999999999998@13.0@12.74@skinwallet@csdeals@2.2
SSG 08 | Abyss (Factory New)@2.14@2.033@8.0@7.84@skinwallet@csdeals@5.7
SSG 08 | Dragonfire (Minimal Wear)@10.8@10.26@39.0@38.22@skinwallet@csdeals@27.42
SSG 08 | Red Stone (Field-Tested)@1.52@1.444@4.0@3.92@skinwallet@csdeals@2.4
SSG 08 | Turbo Peek (Field-Tested)@3.34@3.173@10.0@9.8@skinwallet@csdeals@6.46
StatTrak™ AK-47 | Redline (Field-Tested)@37.02@35.169000000000004@45.0@44.1@skinwallet@csdeals@7.08
StatTrak™ AK-47 | Slate (Minimal Wear)@9.9@9.405@12.59@12.3382@skinwallet@csdeals@2.44
StatTrak™ AUG | Amber Slipstream (Factory New)@0.77@0.7314999999999999@9.0@8.82@skinwallet@csdeals@8.05
StatTrak™ AUG | Arctic Wolf (Field-Tested)@2.83@2.6885@10.0@9.8@skinwallet@csdeals@6.97
StatTrak™ AUG | Ricochet (Factory New)@1.8@1.71@25.0@24.5@skinwallet@csdeals@22.7
StatTrak™ AUG | Stymphalian (Field-Tested)@2.05@1.9475@6.0@5.88@skinwallet@csdeals@3.83
StatTrak™ AUG | Syd Mead (Field-Tested)@2.23@2.1185@8.0@7.84@skinwallet@csdeals@5.61
StatTrak™ AWP | Exoskeleton (Field-Tested)@3.36@3.192@7.24@7.0952@skinwallet@csdeals@3.74
StatTrak™ AWP | Fever Dream (Field-Tested)@12.31@11.6945@16.79@16.4542@skinwallet@csdeals@4.14
StatTrak™ AWP | Neo-Noir (Field-Tested)@38.11@36.2045@45.32@44.4136@skinwallet@csdeals@6.3
StatTrak™ AWP | Phobos (Minimal Wear)@2.76@2.622@11.0@10.78@skinwallet@csdeals@8.02
StatTrak™ CZ75-Auto | Polymer (Factory New)@0.87@0.8265@9.0@8.82@skinwallet@csdeals@7.95
StatTrak™ CZ75-Auto | Tacticat (Minimal Wear)@1.21@1.1495@4.0@3.92@skinwallet@csdeals@2.71
StatTrak™ Desert Eagle | Conspiracy (Minimal Wear)@12.08@11.476@22.75@22.295@skinwallet@csdeals@10.22
StatTrak™ Desert Eagle | Mecha Industries (Field-Tested)@6.26@5.946999999999999@10.99@10.7702@skinwallet@csdeals@4.51
StatTrak™ Desert Eagle | Mecha Industries (Minimal Wear)@9.25@8.7875@15.99@15.6702@skinwallet@csdeals@6.42
StatTrak™ Desert Eagle | Naga (Battle-Scarred)@2.37@2.2515@9.0@8.82@skinwallet@csdeals@6.45
StatTrak™ Dual Berettas | Elite 1.6 (Factory New)@0.72@0.6839999999999999@9.0@8.82@skinwallet@csdeals@8.1
StatTrak™ Dual Berettas | Ventilators (Factory New)@0.54@0.513@12.0@11.76@skinwallet@csdeals@11.22
StatTrak™ FAMAS | Meow 36 (Factory New)@1.14@1.083@4.0@3.92@skinwallet@csdeals@2.78
StatTrak™ Five-SeveN | Boost Protocol (Minimal Wear)@3.62@3.439@11.0@10.78@skinwallet@csdeals@7.16
StatTrak™ Five-SeveN | Monkey Business (Well-Worn)@2.99@2.8405@10.0@9.8@skinwallet@csdeals@6.81
StatTrak™ Five-SeveN | Nightshade (Factory New)@3.23@3.0685@10.0@9.8@skinwallet@csdeals@6.57
StatTrak™ Five-SeveN | Scumbria (Factory New)@1.23@1.1685@10.0@9.8@skinwallet@csdeals@8.57
StatTrak™ G3SG1 | Orange Crash (Factory New)@0.63@0.5984999999999999@12.0@11.76@skinwallet@csdeals@11.13
StatTrak™ Galil AR | Akoben (Factory New)@1.09@1.0355@10.0@9.8@skinwallet@csdeals@8.71
StatTrak™ Galil AR | Destroyer (Factory New)@0.77@0.7314999999999999@25.0@24.5@skinwallet@csdeals@23.73
StatTrak™ Galil AR | Rocket Pop (Minimal Wear)@2.45@2.3275@7.0@6.859999999999999@skinwallet@csdeals@4.41
StatTrak™ Galil AR | Signal (Factory New)@2.05@1.9475@7.0@6.859999999999999@skinwallet@csdeals@4.81
StatTrak™ Glock-18 | Catacombs (Factory New)@1.35@1.2825@17.0@16.66@skinwallet@csdeals@15.31
StatTrak™ Glock-18 | Moonrise (Factory New)@2.68@2.546@9.0@8.82@skinwallet@csdeals@6.14
StatTrak™ Glock-18 | Off World (Factory New)@2.7@2.565@10.0@9.8@skinwallet@csdeals@7.1
StatTrak™ Glock-18 | Oxide Blaze (Factory New)@1.01@0.9595@15.0@14.7@skinwallet@csdeals@13.69
StatTrak™ Glock-18 | Royal Legion (Well-Worn)@2.47@2.3465000000000003@6.0@5.88@skinwallet@csdeals@3.41
StatTrak™ Glock-18 | Sacrifice (Minimal Wear)@0.87@0.8265@3.0@2.94@skinwallet@csdeals@2.07
StatTrak™ Glock-18 | Vogue (Factory New)@21.91@20.8145@24.99@24.4902@skinwallet@csdeals@2.58
StatTrak™ Glock-18 | Weasel (Battle-Scarred)@0.98@0.931@10.0@9.8@skinwallet@csdeals@8.82
StatTrak™ Glock-18 | Winterized (Factory New)@2.07@1.9665@25.0@24.5@skinwallet@csdeals@22.43
StatTrak™ Glock-18 | Wraiths (Factory New)@3.21@3.0495@25.0@24.5@skinwallet@csdeals@21.29
StatTrak™ M249 | O.S.I.P.R. (Factory New)@0.9@0.855@3.0@2.94@skinwallet@csdeals@2.04
StatTrak™ M4A1-S | Decimator (Field-Tested)@16.87@16.0265@22.59@22.1382@skinwallet@csdeals@5.27
StatTrak™ M4A1-S | Emphorosaur-S (Battle-Scarred)@2.39@2.2705@5.48@5.3704@skinwallet@csdeals@2.98
StatTrak™ M4A1-S | Emphorosaur-S (Field-Tested)@2.55@2.4225@6.05@5.928999999999999@skinwallet@csdeals@3.38
StatTrak™ M4A1-S | Guardian (Factory New)@73.62@69.93900000000001@94.99@93.0902@skinwallet@csdeals@19.47
StatTrak™ M4A1-S | Night Terror (Field-Tested)@1.8@1.71@7.0@6.859999999999999@skinwallet@csdeals@5.06
StatTrak™ M4A4 | Evil Daimyo (Field-Tested)@2.46@2.337@10.0@9.8@skinwallet@csdeals@7.34
StatTrak™ M4A4 | Faded Zebra (Field-Tested)@2.22@2.109@5.0@4.9@skinwallet@csdeals@2.68
StatTrak™ M4A4 | In Living Color (Field-Tested)@9.06@8.607@13.29@13.0242@skinwallet@csdeals@3.96
StatTrak™ MAG-7 | Cobalt Core (Factory New)@1.31@1.2445@20.0@19.6@skinwallet@csdeals@18.29
StatTrak™ MAG-7 | Justice (Minimal Wear)@9.35@8.882499999999999@12.9@12.642@skinwallet@csdeals@3.29
StatTrak™ MP5-SD | Acid Wash (Factory New)@1.59@1.5105@16.0@15.68@skinwallet@csdeals@14.09
StatTrak™ MP7 | Abyssal Apparition (Field-Tested)@2.48@2.356@10.0@9.8@skinwallet@csdeals@7.32
StatTrak™ MP7 | Cirrus (Factory New)@1.83@1.7385@7.0@6.859999999999999@skinwallet@csdeals@5.03
StatTrak™ MP7 | Mischief (Minimal Wear)@0.91@0.8644999999999999@12.0@11.76@skinwallet@csdeals@10.85
StatTrak™ MP9 | Black Sand (Factory New)@0.57@0.5415@10.0@9.8@skinwallet@csdeals@9.23
StatTrak™ MP9 | Food Chain (Minimal Wear)@5.58@5.301@8.59@8.4182@skinwallet@csdeals@2.84
StatTrak™ MP9 | Sand Scale (Factory New)@1.1@1.045@6.0@5.88@skinwallet@csdeals@4.78
StatTrak™ Negev | Dazzle (Minimal Wear)@0.79@0.7505@11.0@10.78@skinwallet@csdeals@9.99
StatTrak™ Negev | Desert-Strike (Factory New)@0.62@0.589@10.0@9.8@skinwallet@csdeals@9.18
StatTrak™ Negev | Power Loader (Field-Tested)@2.33@2.2135@9.0@8.82@skinwallet@csdeals@6.49
StatTrak™ Negev | Prototype (Factory New)@0.52@0.494@14.0@13.72@skinwallet@csdeals@13.2
StatTrak™ Nova | Exo (Factory New)@0.65@0.6174999999999999@10.0@9.8@skinwallet@csdeals@9.15
StatTrak™ Nova | Koi (Factory New)@3.36@3.192@10.0@9.8@skinwallet@csdeals@6.44
StatTrak™ Nova | Windblown (Factory New)@0.88@0.836@16.0@15.68@skinwallet@csdeals@14.8
StatTrak™ Nova | Wood Fired (Factory New)@0.58@0.5509999999999999@7.0@6.859999999999999@skinwallet@csdeals@6.28
StatTrak™ P2000 | Ivory (Factory New)@2.18@2.071@8.0@7.84@skinwallet@csdeals@5.66
StatTrak™ P2000 | Oceanic (Factory New)@0.63@0.5984999999999999@11.0@10.78@skinwallet@csdeals@10.15
StatTrak™ P2000 | Urban Hazard (Factory New)@0.61@0.5795@10.0@9.8@skinwallet@csdeals@9.19
StatTrak™ P250 | Contaminant (Factory New)@1.47@1.3965@15.0@14.7@skinwallet@csdeals@13.23
StatTrak™ P250 | Muertos (Minimal Wear)@11.35@10.7825@14.0@13.72@skinwallet@csdeals@2.37
StatTrak™ P90 | Cocoa Rampage (Factory New)@1.3@1.235@4.0@3.92@skinwallet@csdeals@2.62
StatTrak™ P90 | Grim (Factory New)@2.02@1.919@26.0@25.48@skinwallet@csdeals@23.46
StatTrak™ P90 | Neoqueen (Field-Tested)@1.31@1.2445@4.69@4.5962000000000005@skinwallet@csdeals@3.29
StatTrak™ P90 | Off World (Factory New)@1.2@1.14@15.0@14.7@skinwallet@csdeals@13.5
StatTrak™ PP-Bizon | Jungle Slipstream (Factory New)@0.54@0.513@9.0@8.82@skinwallet@csdeals@8.28
StatTrak™ PP-Bizon | Space Cat (Minimal Wear)@1.08@1.026@4.0@3.92@skinwallet@csdeals@2.84
StatTrak™ R8 Revolver | Bone Forged (Factory New)@0.47@0.4464999999999999@11.0@10.78@skinwallet@csdeals@10.31
StatTrak™ R8 Revolver | Grip (Factory New)@0.65@0.6174999999999999@10.0@9.8@skinwallet@csdeals@9.15
StatTrak™ R8 Revolver | Junk Yard (Factory New)@1.31@1.2445@27.0@26.46@skinwallet@csdeals@25.15
StatTrak™ Sawed-Off | Black Sand (Factory New)@0.56@0.532@12.0@11.76@skinwallet@csdeals@11.2
StatTrak™ Sawed-Off | Origami (Factory New)@0.66@0.627@8.0@7.84@skinwallet@csdeals@7.18
StatTrak™ Sawed-Off | Serenity (Minimal Wear)@2.59@2.4605@9.0@8.82@skinwallet@csdeals@6.23
StatTrak™ SCAR-20 | Jungle Slipstream (Factory New)@0.41@0.3894999999999999@7.0@6.859999999999999@skinwallet@csdeals@6.45
StatTrak™ SG 553 | Aerial (Factory New)@0.68@0.646@13.0@12.74@skinwallet@csdeals@12.06
StatTrak™ SG 553 | Danger Close (Factory New)@0.75@0.7124999999999999@14.0@13.72@skinwallet@csdeals@12.97
StatTrak™ SG 553 | Tiger Moth (Minimal Wear)@2.48@2.356@7.0@6.859999999999999@skinwallet@csdeals@4.38
StatTrak™ SSG 08 | Parallax (Well-Worn)@2.0@1.9@4.6@4.508@skinwallet@csdeals@2.51
StatTrak™ Tec-9 | Cracked Opal (Factory New)@1.03@0.9785@10.0@9.8@skinwallet@csdeals@8.77
StatTrak™ Tec-9 | Ice Cap (Factory New)@1.25@1.1875@3.5@3.43@skinwallet@csdeals@2.18
StatTrak™ UMP-45 | Oscillator (Factory New)@0.95@0.9025@15.0@14.7@skinwallet@csdeals@13.75
StatTrak™ USP-S | Cortex (Field-Tested)@3.74@3.553@7.0@6.859999999999999@skinwallet@csdeals@3.12
StatTrak™ USP-S | Cortex (Well-Worn)@2.98@2.831@10.0@9.8@skinwallet@csdeals@6.82
StatTrak™ USP-S | Cyrex (Minimal Wear)@5.24@4.978@7.77@7.614599999999999@skinwallet@csdeals@2.37
StatTrak™ USP-S | Stainless (Minimal Wear)@22.08@20.976@30.99@30.3702@skinwallet@csdeals@8.29
StatTrak™ USP-S | Torque (Factory New)@2.99@2.8405@11.0@10.78@skinwallet@csdeals@7.79
StatTrak™ XM1014 | Incinegator (Field-Tested)@2.03@1.9285@7.0@6.859999999999999@skinwallet@csdeals@4.83
StatTrak™ XM1014 | Zombie Offensive (Minimal Wear)@0.83@0.7885@3.0@2.94@skinwallet@csdeals@2.11
Sticker Capsule 2@17.71@16.8245@26.9@26.362@skinwallet@csdeals@8.65
Sticker | FaZe Clan | Cologne 2016@5.29@5.0255@10.0@9.8@skinwallet@csdeals@4.51
Sticker | Fnatic (Holo) | MLG Columbus 2016@13.52@12.844@30.0@29.4@skinwallet@csdeals@15.88
Sticker | gob b (Foil) | London 2018@10.3@9.785@48.0@47.04@skinwallet@csdeals@36.74
Sticker | mousesports | Cluj-Napoca 2015@3.32@3.154@8.0@7.84@skinwallet@csdeals@4.52
Sticker | Team EnVyUs | MLG Columbus 2016@3.03@2.8785@7.0@6.859999999999999@skinwallet@csdeals@3.83
Sticker | Team LDLC.com | Katowice 2014@2000.0@1900.0@3500.0@3430.0@skinwallet@csdeals@1430.0
Sticker | Team Spirit (Holo) | Stockholm 2021@9.72@9.234@24.0@23.52@skinwallet@csdeals@13.8
Tec-9 | Avalanche (Factory New)@2.17@2.0615@25.0@24.5@skinwallet@csdeals@22.33
Tec-9 | Bamboozle (Factory New)@0.88@0.836@3.0@2.94@skinwallet@csdeals@2.06
Tec-9 | Brother (Factory New)@1.09@1.0355@4.0@3.92@skinwallet@csdeals@2.83
Tec-9 | Cut Out (Factory New)@5.27@5.006499999999999@40.0@39.2@skinwallet@csdeals@33.93
Tec-9 | Fubar (Minimal Wear)@0.62@0.589@15.0@14.7@skinwallet@csdeals@14.08
Tec-9 | Fuel Injector (Field-Tested)@2.01@1.9095@6.0@5.88@skinwallet@csdeals@3.87
Tec-9 | Red Quartz (Factory New)@0.16@0.152@12.0@11.76@skinwallet@csdeals@11.6
Tec-9 | Remote Control (Well-Worn)@1.7@1.615@4.6@4.508@skinwallet@csdeals@2.81
Tec-9 | Snek-9 (Factory New)@0.38@0.361@10.0@9.8@skinwallet@csdeals@9.42
Tec-9 | Toxic (Field-Tested)@2.23@2.1185@7.0@6.859999999999999@skinwallet@csdeals@4.63
Train Pin@2.44@2.318@4.95@4.851@skinwallet@csdeals@2.41
UMP-45 | Briefing (Factory New)@0.22@0.209@12.0@11.76@skinwallet@csdeals@11.54
UMP-45 | Exposure (Factory New)@1.12@1.064@9.0@8.82@skinwallet@csdeals@7.7
UMP-45 | Momentum (Minimal Wear)@3.86@3.667@6.0@5.88@skinwallet@csdeals@2.02
UMP-45 | Plastique (Factory New)@1.41@1.3395@15.0@14.7@skinwallet@csdeals@13.29
UMP-45 | Primal Saber (Field-Tested)@1.83@1.7385@4.7@4.606@skinwallet@csdeals@2.78
UMP-45 | Primal Saber (Minimal Wear)@2.63@2.4985@10.0@9.8@skinwallet@csdeals@7.17
USP-S | Check Engine (Minimal Wear)@0.86@0.817@3.0@2.94@skinwallet@csdeals@2.08
USP-S | Kill Confirmed (Field-Tested)@39.12@37.164@44.28@43.3944@skinwallet@csdeals@4.27
USP-S | Kill Confirmed (Minimal Wear)@64.37@61.1515@104.9@102.802@skinwallet@csdeals@38.43
USP-S | Kill Confirmed (Well-Worn)@31.8@30.21@37.0@36.26@skinwallet@csdeals@4.46
USP-S | Lead Conduit (Factory New)@1.41@1.3395@6.0@5.88@skinwallet@csdeals@4.47
USP-S | Orion (Factory New)@48.79@46.3505@60.0@58.8@skinwallet@csdeals@10.01
USP-S | Printstream (Battle-Scarred)@30.82@29.279@49.99@48.9902@skinwallet@csdeals@18.17
USP-S | Stainless (Battle-Scarred)@2.39@2.2705@6.4@6.272@skinwallet@csdeals@3.88
USP-S | Stainless (Field-Tested)@2.83@2.6885@7.9@7.742@skinwallet@csdeals@4.91
USP-S | Stainless (Minimal Wear)@5.49@5.2155@8.99@8.8102@skinwallet@csdeals@3.32
Welcome to the Clutch Pin@2.74@2.603@7.0@6.859999999999999@skinwallet@csdeals@4.12
Wildfire Pin@3.22@3.059@7.0@6.859999999999999@skinwallet@csdeals@3.64
Winter Offensive Weapon Case@4.42@4.199@6.99@6.8502@skinwallet@csdeals@2.43
XM1014 | Banana Leaf (Field-Tested)@12.5@11.875@26.0@25.48@skinwallet@csdeals@12.98
XM1014 | Black Tie (Factory New)@1.21@1.1495@15.0@14.7@skinwallet@csdeals@13.49
XM1014 | Entombed (Minimal Wear)@4.28@4.066@6.5@6.37@skinwallet@csdeals@2.09
XM1014 | Quicksilver (Factory New)@0.32@0.304@4.0@3.92@skinwallet@csdeals@3.6
XM1014 | Seasons (Minimal Wear)@0.88@0.836@3.0@2.94@skinwallet@csdeals@2.06
XM1014 | Teclu Burner (Factory New)@4.87@4.6265@20.0@19.6@skinwallet@csdeals@14.73
XM1014 | XOXO (Minimal Wear)@2.6@2.47@8.0@7.84@skinwallet@csdeals@5.24
XM1014 | Ziggy (Minimal Wear)@0.44@0.418@15.0@14.7@skinwallet@csdeals@14.26
XM1014 | Zombie Offensive (Factory New)@0.86@0.817@3.0@2.94@skinwallet@csdeals@2.08
★ Driver Gloves | Black Tie (Field-Tested)@176.8@167.96@222.67@218.2166@skinwallet@csdeals@41.42
★ Driver Gloves | Racing Green (Field-Tested)@37.62@35.739@52.0@50.96@skinwallet@csdeals@13.34
★ Driver Gloves | Rezan the Red (Field-Tested)@66.64@63.308@100.0@98.0@skinwallet@csdeals@31.36
★ Falchion Knife | Night (Field-Tested)@100.71@95.6745@129.9@127.302@skinwallet@csdeals@26.59
★ Flip Knife | Slaughter (Minimal Wear)@351.61@334.0295@479.9@470.302@skinwallet@csdeals@118.69
★ Gut Knife | Lore (Field-Tested)@149.58@142.101@186.69@182.9562@skinwallet@csdeals@33.38
★ Hand Wraps | Desert Shamagh (Field-Tested)@51.91@49.3145@77.93@76.37140000000001@skinwallet@csdeals@24.46
★ Hand Wraps | Duct Tape (Field-Tested)@50.7@48.165@69.99@68.5902@skinwallet@csdeals@17.89
★ Hydra Gloves | Case Hardened (Battle-Scarred)@52.19@49.5805@70.0@68.6@skinwallet@csdeals@16.41
★ Hydra Gloves | Emerald (Battle-Scarred)@45.73@43.44349999999999@67.99@66.63019999999999@skinwallet@csdeals@20.9
